,ticker,winrate_4y,return_4y,buyhold_4y,winrate_1y,return_1y,buyhold_1y,winrate_td,return_td,buyhold_td,std_1y,std_3m,return_1m,return_3m,return_6m
1,MSFT,47.92,1.02,1.29,43.24,0.96,1.52,40.91,0.82,1.13,41.10690426632729,16.06053928732704,1.1909316604223157,1.1351359215253194,0.9867868496080963
2,AAPL,47.8,1.12,1.14,42.54,0.89,1.35,31.03,0.86,0.98,18.523106906116062,4.668273489251463,1.1246067622313052,1.1338010775296343,1.0636340947713636
3,NVDA,57.49,2.42,2.4,50.34,1.09,2.91,53.33,1.31,1.55,114.07618421607692,76.5453117660974,1.8214201966893857,1.653161120054165,1.5636382497009913
4,AMZN,55.84,1.67,1.02,56.25,1.01,1.66,54.55,1.17,1.19,18.973322944308528,7.4965608641744215,0.902266141895782,0.8507981528663214,0.7859086872304624
5,META,55.78,1.98,1.47,49.64,1.02,2.79,46.15,0.92,1.47,68.84555368570437,42.0083381246915,1.1781231194731472,1.0580111451998107,0.9120080484149139
6,GOOGL,51.58,1.24,1.04,49.62,0.94,1.35,43.33,1.03,1.14,16.83919671087443,5.808874667916165,0.9964723210008819,0.9333938476237944,0.8967203116329627
7,GOOG,51.85,1.37,1.04,49.63,0.95,1.36,40.62,1.08,1.13,17.02999149098724,5.851437447789669,1.0030843030452425,0.9418170732186123,0.896614301993655
8,AVGO,53.4,1.58,2.27,46.62,1.21,1.74,71.43,1.08,1.41,138.85610067154317,92.105552153218,1.9605651385946854,1.722114155558955,1.5312755222417829
9,TSLA,52.92,2.04,0.58,52.98,1.02,1.33,52.0,1.24,0.81,44.97765042756736,25.75825172497991,0.6508062277018223,0.7058701143626578,0.6876443143503178
10,LLY,52.29,1.27,3.0,52.21,0.91,1.6,40.74,1.11,1.26,96.76648460060474,44.32464207304646,2.6099946337478723,2.479681739064612,2.2329800824270696
11,JPM,39.33,0.55,1.09,34.81,0.92,1.2,30.43,0.6,1.11,7.740500780555174,5.217786417641815,1.0555069879269217,0.9268231708746155,0.9333166352998967
12,UNH,42.2,0.63,1.13,38.1,0.95,1.02,34.78,0.8,0.94,23.571872868983125,15.179968734653016,1.13344640709579,1.174632238332536,1.0816544055124389
13,V,37.66,0.25,1.36,33.59,0.87,1.22,20.83,0.57,1.09,11.28820097419533,7.49792716743726,1.3033847590981325,1.2183738472717724,1.1814684002723514
14,XOM,44.74,0.83,1.65,41.61,0.97,0.97,46.43,0.71,1.01,4.688837430062105,2.044052043834829,1.6230918151392062,1.6935693052047633,1.7653458241641427
15,JNJ,40.61,0.63,0.96,38.1,0.94,0.9,25.0,0.79,0.99,8.179373458139162,2.500371182451732,0.9966245056860387,0.9062231585224653,1.0270651994355728
16,MA,42.15,0.44,1.37,39.58,0.91,1.18,34.62,0.65,1.12,19.715349891411464,14.81646666805221,1.2873129432970687,1.1929619593653757,1.1796118802584412
17,PG,42.64,0.8,1.03,36.21,0.95,0.98,23.53,0.74,1.07,5.167741532287918,4.929147919705742,0.9898127646720558,0.9998028341735111,0.9975025327685392
18,HD,47.89,1.06,0.87,42.54,1.01,1.02,47.62,0.88,1.12,15.763493901819368,10.22463335858144,0.8556891532587296,0.7304065334777896,0.7795525331791475
19,COST,46.32,1.13,1.36,40.16,1.02,1.26,50.0,0.91,1.2,36.816631476517564,30.539861486265494,1.2813953011859387,1.1080269584907145,1.018773461246168
