,ticker,winrate_4y,return_4y,buyhold_4y,winrate_1y,return_1y,buyhold_1y,winrate_td,return_td,buyhold_td,std_1y,std_3m,return_1m,return_3m,return_6m
1,MSFT,48.23,1.03,1.14,42.11,0.99,1.59,50.0,0.8,1.08,39.244390753851526,6.0119286815203035,1.1127689994236456,0.9887053032772743,1.0217869055970603
2,AAPL,48.25,1.18,1.23,43.07,0.97,1.28,29.63,0.91,1.05,18.50741551090387,5.197895851265629,1.2898118578049926,1.1838897275584574,1.2714625987346
3,NVDA,57.14,2.35,1.82,50.34,1.06,3.18,60.71,1.41,1.21,116.54896155375,18.53166068074577,1.599174496517836,1.5467601661083572,1.486829240019039
4,AMZN,56.07,1.73,0.88,57.75,0.99,1.52,50.0,1.28,1.11,17.967932793566796,4.044936710305823,0.8483174607409847,0.762438874881796,0.7477710407590898
5,META,56.48,2.06,1.1,51.8,1.01,3.47,47.83,1.04,1.18,72.98893369014941,13.618541358052667,0.9951466283960403,0.9562304244755606,0.876164967747323
6,GOOGL,51.92,1.28,0.96,50.37,0.97,1.49,46.15,1.05,1.1,16.710057101106855,3.6307121746394238,0.893789958257087,0.9381692170278482,0.8094828277327066
7,GOOG,52.04,1.39,0.97,50.0,0.97,1.5,44.83,1.1,1.1,16.862109935935877,3.6406680102284317,0.8988250209947795,0.9448962340142829,0.8091711805998488
8,AVGO,52.8,1.48,1.97,47.44,1.19,1.9,69.57,1.12,1.22,138.2426413230384,84.84718584824708,1.9545040990856186,1.6451642582429502,1.6345558090868535
9,TSLA,52.91,1.97,0.57,51.95,1.09,1.06,63.64,1.31,1.06,44.86372838466129,11.270973131468548,0.57811545674349,0.6193623860596817,0.634241501181675
10,LLY,52.87,1.34,2.33,51.3,0.97,1.59,38.89,1.07,1.11,88.44658993104129,15.74065399737469,2.1577860138952953,2.2754244082968174,1.7049446809775715
11,JPM,39.45,0.57,1.02,34.19,0.98,1.09,48.0,0.61,1.2,7.435452450514152,9.272357003778673,0.953829762174504,0.878543062582073,0.9207320882400329
12,UNH,42.91,0.68,1.18,43.65,0.96,0.99,21.05,0.88,1.01,22.492419039697225,9.193203978167762,1.1947630244231486,1.1779271779351954,1.108963105240343
13,V,39.55,0.36,1.27,36.3,0.9,1.24,20.83,0.62,1.09,11.433442591141688,5.980162046704641,1.2432225264690075,1.1498707190720832,1.1459431046980377
14,XOM,44.35,0.77,1.53,43.05,0.91,0.96,32.14,0.74,0.92,4.501276688686838,2.1013162752276613,1.5222791100295794,1.7070329249635292,1.6129481987712424
15,JNJ,41.7,0.66,0.98,37.3,0.99,0.88,40.0,0.78,1.07,8.246161254901008,4.138908401901587,0.9421020751766951,0.9570473447019651,1.0339610943536364
16,MA,43.75,0.57,1.28,42.76,0.94,1.21,31.58,0.7,1.11,21.40268442281868,12.280832261976538,1.2543601025167928,1.195957464811029,1.1850162445627797
17,PG,43.02,0.82,1.03,37.82,0.96,1.12,25.0,0.77,1.0,5.514779021582162,2.7540929257517033,1.004266412647532,1.0051610236870323,1.0523670862098438
18,HD,47.18,1.06,0.96,42.22,1.03,1.04,52.38,0.88,1.21,16.020145017744724,21.312081999532158,0.8952657820521083,0.7988876146582118,0.861061872017058
19,COST,45.62,1.12,1.3,38.46,1.04,1.15,46.15,0.86,1.2,32.22569113805082,38.106298324823726,1.2208603350553355,1.1098095412384448,1.0819207762196554
20,MRK,39.84,0.63,1.31,44.44,0.98,1.04,33.33,0.88,1.15,4.141871746459705,5.0267499489893215,1.1526397123379544,1.150209833627125,1.2192400957963418
21,ABBV,43.7,0.72,1.41,43.31,0.93,0.97,31.58,0.89,1.17,8.366871106927103,8.567056941664832,1.3090723448585466,1.2577310678128444,1.2279173798992757
22,ADBE,54.4,1.57,0.88,50.98,1.01,1.97,61.9,1.15,1.05,85.18222519691241,17.00732143599364,0.9400367272125719,0.8170246502960352,0.7717629469490889
23,CRM,52.37,1.28,0.86,45.0,0.99,1.48,52.17,0.72,1.27,28.9717255343997,20.234994787196047,0.8325217669562323,0.6769575152407084,0.7403583665507381
24,AMD,59.27,2.9,1.08,55.48,1.19,1.8,62.07,1.48,1.32,17.439246547072344,11.620761503149648,1.0008000044389205,0.7742545387961648,0.8069090687144886
25,CVX,40.12,0.39,1.27,40.25,0.87,0.8,33.33,0.72,0.98,9.353120198971135,3.2631216498735403,1.2553959767261462,1.4571402588643905,1.398026600783184
26,NFLX,60.68,2.85,0.72,57.75,0.99,1.66,40.91,1.65,1.11,52.884152820813654,17.59303162314171,0.6926989573435134,0.5398264424668795,0.6395870502469805
27,WMT,46.06,0.84,1.07,35.96,1.0,1.17,55.0,0.75,0.98,2.5521121879432638,1.574010336051219,1.0005288580539233,1.0656399008461124,1.0468667637790559
28,BAC,46.47,0.93,0.71,47.14,1.01,0.77,50.0,0.96,1.18,3.360082664268602,2.166007993060734,0.6494823279501479,0.5702513992595958,0.6756813502012852
29,PEP,32.09,0.39,1.02,31.5,0.9,0.93,10.0,0.74,1.0,8.065414282647945,1.6213954389514724,1.0253180191340816,0.9803420621049719,1.157324608895435
30,KO,34.51,0.44,1.06,28.81,0.98,0.96,27.78,0.68,1.06,2.6091008834212177,1.0035340256064065,1.0498233175061584,0.9439929637030872,1.103180217491668
31,ACN,45.06,0.64,0.94,45.95,0.89,1.2,29.17,0.87,1.1,19.83981322029913,11.178024192588925,0.9357143201826529,0.8324427658111927,0.8582333649657858
32,MCD,38.71,0.49,1.16,35.83,0.98,0.98,36.84,0.74,1.1,12.918187536498573,9.203318935239327,1.1497672441740305,0.9861121905656908,1.1662983410447028
33,TMO,40.45,0.67,0.85,34.81,0.96,0.92,31.58,0.57,1.2,32.1586195550867,30.146351125703063,0.7774321425613929,0.7636301129917415,0.8787513971799575
34,CSCO,42.35,0.51,0.88,40.3,0.88,1.19,18.18,0.74,0.95,3.0122010990303734,1.7301576812741972,0.8636204963848196,0.948179286767802,0.9213935933520617
35,ABT,46.26,0.85,0.89,46.51,1.0,0.98,43.75,0.94,1.19,5.481285245367543,5.571659823788148,0.8264002117247172,0.7140754738569856,0.8853513374992701
36,LIN,32.81,-0.03,1.22,31.34,0.87,1.27,16.67,0.61,1.03,21.96735816383577,6.962104230067503,1.2872398226868873,1.1440120369061086,1.1600000257765366
37,CMCSA,46.71,0.7,0.82,46.38,0.96,1.39,36.84,0.82,1.01,3.760109611023698,0.9854034992725461,0.8092167369500348,0.8391807393162612,0.8133889581260829
38,INTC,56.03,2.17,0.94,54.55,1.17,1.35,57.14,1.47,1.24,3.373954365956338,3.5730516445249,0.8753726836292169,0.7266945015966604,0.676207504057523
39,WFC,48.77,1.13,0.97,49.64,1.05,0.89,48.0,0.93,1.18,2.9979031361011175,3.3732242230517855,0.9180166377173189,0.8227973608202549,0.9079415261607829
