,ticker,winrate_4y,return_4y,buyhold_4y,winrate_1y,return_1y,buyhold_1y,winrate_td,return_td,buyhold_td,std_1y,std_3m,return_1m,return_3m,return_6m
1,MSFT,48.38,1.07,1.23,46.75,0.97,1.26,34.62,0.88,1.11,40.461025811525104,13.807609953184041,1.108024463263782,1.0541954631569435,1.0501316369838374
2,AAPL,49.36,1.16,1.2,47.89,0.97,1.13,44.0,1.08,1.05,18.940541738006228,3.9870725003138205,1.152214560746871,1.1249436194091482,1.1060537482013546
3,NVDA,56.31,2.39,2.16,51.02,1.04,3.17,55.56,1.41,1.06,120.31707435794316,19.745256834334874,2.0634317268743008,1.9382693559129807,1.3737410167029744
4,AMZN,56.48,1.8,0.81,55.47,1.13,1.04,67.74,1.14,1.04,16.417004162705762,6.645257022929095,0.7519501213518487,0.7557509904038638,0.6523330128792754
5,META,56.15,2.01,0.87,51.43,1.05,1.76,60.0,1.05,1.1,70.58863710141391,9.536234783126565,0.8505707224268834,0.750192002821807,0.6534947180836025
6,GOOGL,51.29,1.33,0.92,50.69,1.01,1.23,63.16,1.01,0.97,14.251853827159232,4.9246099315519976,0.968049576226145,0.887042362943434,0.8529413982238166
7,GOOG,51.91,1.44,0.93,50.34,1.01,1.23,61.11,1.06,0.98,14.322891715113071,4.905197067818948,0.969675679575275,0.8842276820060062,0.8509595754013787
8,AVGO,50.77,1.25,1.94,47.13,1.11,1.64,66.67,1.02,1.12,147.32374996738227,30.513245793117086,1.8256604199398463,1.6704559624154405,1.3886079396813944
9,TSLA,52.42,2.04,0.85,50.97,1.02,0.83,50.0,1.32,0.86,47.0566499209029,23.33993806926169,1.0104660151740217,0.8575351635582047,0.7392654273380987
10,LLY,55.02,1.49,2.35,46.49,1.14,1.85,76.19,0.9,1.02,67.68600553867688,24.403902425105084,2.4197144228131235,2.1442081326640476,1.660689050136176
11,JPM,39.39,0.52,0.92,37.01,0.93,1.21,40.0,0.72,1.02,11.847789949381069,3.084902031681897,0.932807609485903,0.9398738247362973,0.8617665384094045
12,UNH,44.06,0.67,1.3,42.4,0.96,0.92,43.48,0.85,1.13,23.128919107749596,19.601996913229215,1.2952406421041032,1.199932557028983,1.1541924108290784
13,V,41.48,0.45,1.07,31.62,1.03,1.21,62.5,0.53,0.99,17.118443206373758,5.639197914975134,1.0479288103446185,1.0396350865432917,0.9803134376056123
14,XOM,45.59,0.81,1.92,43.71,0.99,1.2,48.0,0.79,0.9,6.338318585501446,4.901320617066844,2.0342275393197897,2.0358927376279414,1.9685476970908715
15,JNJ,42.15,0.68,0.86,39.84,0.96,0.97,28.57,0.82,0.92,7.471977124524477,5.161110169862098,0.91640491199877,1.003432295623204,0.9122164230734202
16,MA,44.62,0.65,1.12,43.33,0.96,1.24,42.31,0.73,0.95,31.056459538667447,13.051033437380534,1.1427757346660778,1.1171661459709348,1.0646934563077644
17,PG,43.87,0.82,1.05,40.16,0.93,1.09,33.33,0.82,0.99,8.318631332160884,3.320205569598221,1.0101659831165621,1.0549100058608099,1.020401084534743
18,HD,45.1,0.97,0.88,42.03,1.04,1.1,58.33,0.82,0.89,17.89966460168934,13.910638050940872,0.8967066729386713,0.9873032401665757,0.88949880688027
19,COST,45.86,1.09,1.24,40.0,1.03,1.03,47.83,0.87,1.05,28.033018341052433,7.716812362278141,1.2287738355909263,1.1701524332345263,1.0411638016054723
20,MRK,41.92,0.71,1.35,43.1,0.94,1.25,20.0,0.88,0.93,7.911518726579283,2.1657810524168966,1.3819001930228703,1.4490445337555147,1.5030519602664052
21,ABBV,44.53,0.77,1.26,44.96,0.96,1.05,36.36,0.91,0.93,8.73955104294389,4.518988903288219,1.3340883917476996,1.3604566741508841,1.291409962706115
22,ADBE,53.42,1.59,0.9,48.67,1.11,1.42,62.96,1.07,1.07,79.45004400646458,23.563129262829364,0.8304032064210879,0.7661560678640437,0.5585175805774164
23,CRM,51.41,1.29,0.81,44.44,1.0,1.38,58.33,0.72,0.95,30.160368895795447,6.825197726755403,0.7940370217669285,0.7799482356233176,0.7868403138818146
24,AMD,59.08,2.82,1.12,52.53,1.19,1.24,63.64,1.31,1.12,19.917234927720514,5.578445899045875,1.0027314770700653,0.9932184116688275,1.0183668137069546
25,CVX,39.94,0.41,1.48,41.56,0.97,1.05,40.0,0.66,0.85,10.025431498305013,9.317186280751475,1.715945585058766,1.6692602439601616,1.6272435636135105
26,NFLX,61.3,2.93,0.74,58.45,1.1,1.9,62.5,1.74,1.01,65.2341680434586,26.568076848377345,0.5953634429367856,0.6674861924384484,0.5873937751088345
27,WMT,44.84,0.82,1.13,42.02,0.95,1.2,18.18,0.77,1.01,2.7628709763094608,0.8316064020032914,1.0932456806623325,1.0710023421352055,1.0057643425029128
28,BAC,46.67,0.89,0.68,47.83,0.99,0.81,42.31,0.97,0.98,3.1295274418555166,1.0779381757030444,0.6618440553956172,0.7138303453096247,0.7008337611382054
29,PEP,33.84,0.44,1.07,29.27,0.96,1.02,36.0,0.68,0.95,7.195775829444973,6.933413363355294,1.027820320165845,1.1369320526284121,1.1872767092579528
30,KO,34.63,0.4,1.01,30.58,0.96,0.94,40.0,0.67,0.97,2.1268579686251186,1.8020751366796637,0.9470046444380198,1.080290725647126,1.0882666345011456
31,ACN,46.22,0.76,0.94,47.92,1.01,1.12,53.33,0.95,0.98,20.268863926545453,8.700027435337873,0.8972143563895639,0.8901621882982594,0.8465561821319727
32,MCD,37.68,0.43,1.12,37.29,1.0,1.08,36.0,0.71,0.96,15.852046975622974,10.448038346245447,1.047439475131409,1.1807057078180354,1.2001089639472573
33,TMO,39.56,0.6,0.78,36.71,0.91,0.91,38.46,0.69,0.87,24.26799665523352,26.977851051423524,0.8532257395707626,0.9297914509637464,0.9170770196535585
34,CSCO,44.69,0.63,0.9,42.55,0.96,1.24,45.0,0.78,0.93,3.7767875898909606,1.4183909148405758,0.9229720444059883,0.9379686542140768,0.8335037422127974
35,ABT,45.96,0.83,0.73,44.36,1.04,0.93,61.9,0.83,0.93,4.643390222590278,3.1613448065017127,0.7142414539665995,0.8035797384653437,0.8193088475440514
36,LIN,32.71,-0.01,1.28,31.34,0.95,1.35,37.04,0.53,1.03,33.09564003667693,8.856237072812243,1.2171122137795598,1.2038255737092223,1.1359158079567835
37,CMCSA,46.82,0.69,0.7,48.94,0.96,1.27,50.0,0.89,0.93,4.426406532639377,1.6337929671372444,0.7357831800646227,0.760891233554113,0.6714333468228405
38,INTC,55.3,2.04,0.73,55.4,1.11,1.21,53.85,1.48,1.02,2.9633267261437397,1.641560258252741,0.6824715620975323,0.6113496394730092,0.5508680305580254
39,WFC,49.08,1.14,0.93,50.0,1.01,0.9,48.0,0.91,1.0,2.9764621803794604,1.2684744736443634,0.9504792746677809,0.9698767753533296,0.9404381417496942
40,VZ,43.02,0.84,0.65,45.8,1.01,0.79,48.0,0.89,1.07,2.4047608347736515,1.6111548510831768,0.569113095735563,0.6042615260859365,0.6599891054302157
41,ORCL,46.5,1.11,1.26,47.06,1.03,1.66,42.86,1.01,0.9,17.17961769692401,5.1910389640273795,1.2150441220662178,1.3016653346990692,1.1013747576961634
42,INTU,54.46,1.93,0.93,50.37,1.02,1.22,45.83,0.98,0.96,40.27610889482127,19.565390576973567,0.9529766183714102,0.856181342979839,0.7924733813328717
43,DIS,53.12,1.22,0.48,50.66,1.09,0.71,61.9,1.07,1.08,7.517267847411924,2.349344420446961,0.4629219654870327,0.4642722220802885,0.48512018717668304
44,AMGN,45.15,0.91,1.21,46.36,1.04,1.05,48.0,1.01,1.03,19.688203852476434,7.841213500964352,1.2988636357355916,1.1854032377068886,1.0161633875272402
45,IBM,41.96,0.85,1.12,38.03,0.95,1.14,33.33,0.85,1.01,8.367033050713257,3.7196591847069773,1.050073323427966,1.0666680938866757,0.9668729575071715
46,QCOM,50.62,1.29,0.87,48.37,0.96,0.8,33.33,0.86,1.17,7.327742113442729,4.204315461722407,0.7753999356115951,0.7725231207798642,0.7266348193521952
47,DHR,45.48,0.78,0.67,42.21,0.96,0.86,44.44,0.6,0.89,12.169963124601463,12.236394878213753,0.7182463584231884,0.7606729389394948,0.6959245085873659
48,NOW,57.1,2.17,0.97,53.12,1.04,1.28,50.0,1.16,1.06,70.84255971678519,25.45680192360141,0.843728992325235,0.8282349496945395,0.7649740348524005
49,CAT,53.87,1.33,1.16,52.55,1.03,1.49,60.0,1.09,0.85,28.634523750281346,17.071503122935937,1.3096193981217013,1.324176534968691,1.0287275829117801
50,PFE,48.87,1.23,0.63,43.7,1.09,0.72,68.75,0.95,0.86,4.975320039528508,1.4127301840327733,0.7153300722085885,0.7882176127802452,0.8522898477787282
51,UNP,46.36,0.72,0.98,41.67,0.95,0.91,52.17,0.78,1.0,10.86180072954064,3.985332272597721,0.97946574602116,1.0465040395207243,0.9123345174578978
52,TXN,49.07,0.59,0.78,44.9,0.93,0.96,45.83,0.78,0.89,7.54569309161896,7.492130086998066,0.8172669521062341,0.8818326419598751,0.8990466247324762
