,ticker,winrate_4y,return_4y,buyhold_4y,winrate_1y,return_1y,buyhold_1y,winrate_td,return_td,buyhold_td,std_1y,std_3m,return_1m,return_3m,return_6m
1,MSFT,48.23,1.05,1.29,44.74,0.98,1.4,40.74,0.81,1.13,40.69862839233059,19.98536554090724,1.2698434003150256,1.1395622192480137,1.1764440364536877
2,AAPL,48.58,1.15,1.37,45.32,0.96,1.27,38.46,0.96,1.09,19.00731080374903,7.981013510349411,1.3096166271166556,1.2612146584290185,1.3252072793647343
3,NVDA,56.35,2.32,2.28,49.66,1.03,3.79,57.14,1.3,1.02,121.313702541605,27.32993005292882,2.3773899822327733,2.1498216002710486,2.1038091611978333
4,AMZN,54.69,1.7,0.91,55.71,1.0,1.12,48.39,1.16,1.14,17.39647027995764,8.253345780483741,0.8853771725298598,0.8691710218878584,0.8081340666268545
5,META,55.96,1.94,0.98,50.0,1.07,2.36,64.0,0.94,1.03,73.74446095639614,12.064097621366269,0.9886773513021894,0.9086676944902187,0.8555983066849867
6,GOOGL,51.28,1.29,0.98,49.64,0.99,1.39,56.52,0.99,0.97,15.91035290913529,4.846111038539903,0.9710857810668869,1.0160782499961019,0.90536163778999
7,GOOG,51.74,1.39,0.99,50.0,0.99,1.39,56.52,1.05,0.97,16.01578621109029,4.90056921703259,0.9813698162899059,1.0204366722781881,0.9096249805031007
8,AVGO,51.54,1.36,2.12,46.54,1.18,1.84,65.0,0.96,1.22,146.86199654169224,49.54729090986512,1.9507436168301968,1.7510608884825913,1.7354661311285136
9,TSLA,52.41,2.04,0.92,50.33,1.01,1.17,50.0,1.19,0.92,43.98179799652437,17.562135775073266,0.8597727994572915,1.0195365443899245,1.0169615173319084
10,LLY,53.46,1.39,2.53,48.25,1.01,1.73,52.63,0.94,1.03,78.27813047369366,15.55204505574769,2.6532284302839892,2.4738234418035727,1.9818993079792375
11,JPM,39.7,0.55,0.94,33.97,0.99,1.37,50.0,0.59,1.1,9.813017917954829,6.261250044908159,0.8643424381239199,0.8841455702558385,0.8275821107574913
12,UNH,43.62,0.68,1.38,43.31,0.89,1.04,23.81,0.86,1.04,22.79002011616091,8.18720511513073,1.379076372988526,1.235442153895845,1.2176244737592883
13,V,40.06,0.41,1.14,33.08,0.97,1.28,42.31,0.59,1.09,14.882970599281492,8.501800936932288,1.0909131420573674,1.0908685794263244,1.0183253104722727
14,XOM,44.54,0.76,1.62,44.0,0.93,1.06,28.0,0.76,0.93,4.829902780337246,3.594163147436558,1.7013956208240377,1.9091204386369534,1.6764038435954285
15,JNJ,42.59,0.68,0.97,39.68,0.97,0.98,39.13,0.79,0.98,7.658352613647672,3.6585329738626795,0.9251159492973718,1.018110034819451,1.0378493120493084
16,MA,43.73,0.59,1.21,42.47,0.94,1.35,33.33,0.7,1.04,28.307281983373148,13.057836750167885,1.1490050287627802,1.215378384278214,1.1007837685355324
17,PG,43.33,0.8,1.05,36.89,0.94,1.16,30.43,0.74,1.01,7.639218002161708,2.852009730235845,1.0942367380338756,1.1056484678623053,1.0762218831380252
18,HD,46.53,1.02,1.01,41.01,1.04,1.03,59.09,0.8,1.13,16.481148234833068,14.32721424493529,0.8743170988183933,0.9629112516291308,0.9141070251095712
19,COST,45.22,1.06,1.4,39.37,1.03,1.19,42.31,0.84,1.12,31.247660271903538,19.567017816998383,1.295782523133014,1.2610254190969576,1.1747042481148091
