,ticker,winrate_4y,return_4y,buyhold_4y,winrate_1y,return_1y,buyhold_1y,winrate_td,return_td,buyhold_td
1,MSFT,60.31,2.8859999999999784,2.55415398467772,57.93,1.0339716666800953,1.6188126810857226,50.0,1.2649693795886057,1.0931999080025965
2,AAPL,56.48,2.787999999999988,2.3179908530372804,54.14,0.9897739530829055,1.4691357905425697,46.15,1.2363280407451502,0.9354681172882039
3,NVDA,59.61,5.3559999999999945,14.874570392094052,56.43,1.2483831863666923,3.2658483608104985,55.88,1.626612289636502,1.8454455230214641
4,AMZN,61.77,3.7849999999999846,1.8640298839426381,63.27,1.0720227955775479,1.7609818387432377,65.52,1.609297998055868,1.1770054459704034
5,META,61.26,4.231999999999978,2.454545487783645,56.39,1.1236444769048157,2.837582151008559,62.07,1.3518778256270698,1.4790781997828368
6,GOOGL,58.14,2.8879999999999804,1.9862360228343905,57.55,1.091891196097038,1.5686875033673104,59.38,1.4289368289138098,0.9733299605536353
7,GOOG,58.84,3.082999999999984,2.002146184332541,57.55,1.1109898411739145,1.5732160861111049,63.33,1.4594000415783417,0.9704474567036211
8,AVGO,60.45,3.5259999999999794,4.193640680313049,59.03,1.1450528048177984,1.9373483217946412,65.52,1.7190012953620633,1.244686306452102
9,TSLA,58.54,5.298999999999983,5.964312031227458,54.11,1.099937529128809,2.1860260427947003,53.85,1.3923024138100146,0.7387292772107662
10,LLY,63.64,3.358999999999982,5.740380576906575,65.25,0.9473917405035492,1.6309556658013435,46.67,1.5017583365423937,1.224558779660521
11,JPM,53.62,2.010999999999982,1.362368123535089,53.33,0.9977482653753593,1.2617685560204972,45.45,1.1435069747669167,1.1000408521944094
12,UNH,54.55,2.2749999999999844,1.667817847776166,53.78,0.9745881458013441,1.0690585269682236,41.38,1.2037408348758434,0.8909100378126752
13,V,53.42,1.938999999999984,1.4766090658128612,51.11,0.9755673705430059,1.2175814607687068,35.0,0.9960530247482755,1.085220078952016
14,XOM,56.97,3.0179999999999887,1.534906784270495,52.0,1.0348525228816299,0.9582475276426278,45.0,1.2214984737217311,1.0458244106917367
15,JNJ,53.55,1.7129999999999845,1.1089569346374304,57.02,0.9796645725792619,0.8880808132147396,43.48,1.2102743308810777,0.9939759207456776
16,MA,56.77,2.4799999999999827,1.5647904563872785,51.8,1.0270646399795869,1.1879206585919464,53.85,1.1017544589855417,1.1225971241607156
17,PG,56.19,2.229999999999986,1.312041111344719,54.78,0.9807391926129339,0.9770742276008377,45.45,1.1306307352593299,1.0878652990728923
18,HD,57.43,2.381999999999981,1.7053396911971708,56.15,1.0341494985304065,1.0792855681821543,66.67,1.3432116636628884,1.1037367567103304
19,COST,60.84,2.6659999999999866,2.5013709529532626,59.85,1.0590323411975406,1.425113956310988,68.18,1.388746676195158,1.13190056123487
20,MRK,53.58,1.9239999999999853,1.4219126382177325,55.45,0.9512390893026497,1.010349714612455,43.48,1.208479255539224,1.0787383851488914
21,ABBV,55.91,2.060999999999983,2.030552500643811,54.69,0.9786408233211703,0.9763577795866134,52.94,1.2780629355108728,1.1224603831129356
22,ADBE,60.26,3.6039999999999828,1.6645671058379894,60.43,1.1257554465316688,1.6990422105449174,63.33,1.5899389819435537,0.9659490871625702
23,CRM,62.5,3.663999999999975,1.8340254746574347,52.59,1.1430562966860447,1.8348736413949456,70.37,1.032569667967696,1.2101334744173529
24,AMD,61.62,5.665999999999982,4.258642134133236,60.42,1.3024612315941049,2.1432105472066696,59.26,2.0611188914392224,1.5294855898493651
25,CVX,51.69,2.397999999999989,1.2341955496817576,49.32,1.025005514979958,0.8683629386403261,43.75,1.151870772886829,0.9804372369742101
26,NFLX,64.55,5.306999999999986,1.8521632599628566,62.32,1.0525114917013223,1.5141721161401898,47.83,1.762933903370552,1.2835877654534742
27,WMT,57.55,1.9809999999999839,1.5305370103146325,61.39,0.9823575652796146,1.1080273429104104,43.48,1.1478859062598263,1.1326742407926065
28,BAC,55.9,2.515999999999985,1.0228079537199637,55.56,1.039946484548766,0.9929701854698246,62.5,1.3644041074752122,1.0645988799602444
29,PEP,50.3,1.5409999999999873,1.2051905981652102,52.99,1.0185320796609663,0.9661395903377089,50.0,1.114910979916531,0.9451287053956119
30,KO,51.92,1.6159999999999841,1.090510164330522,53.15,0.9887414049489014,0.9507311099120291,33.33,1.06424327210011,0.9946631137473267
31,ACN,56.98,2.4589999999999796,1.8067683128921566,56.85,1.0802448942276914,1.2880374921833688,71.43,1.1492555512987543,1.12174473986773
32,MCD,53.03,1.3719999999999841,1.4554178805581843,58.04,0.9764250281874867,1.1234917814120153,45.83,1.1767123199582243,0.9891640263505005
33,TMO,55.65,2.4099999999999855,1.8513413383756692,48.23,1.0735243766288391,0.968376354220286,63.16,1.02977924560274,1.1301577401318785
34,CSCO,55.05,1.8549999999999833,1.042620170769969,55.73,1.002893689636916,1.06225024462599,42.31,1.0978392778139259,0.9831716788286107
35,ABT,58.78,2.5739999999999803,1.410874387778614,63.41,1.0083179234213118,0.9877708783243624,52.17,1.3250286585224194,1.1064646093818844
36,LIN,47.9,1.0319999999999863,2.2628862097667994,48.03,0.957427400146406,1.292988606173131,21.74,1.0714242964134446,1.1364537708821336
37,CMCSA,59.89,2.3729999999999896,0.9436791836937407,60.63,1.1174093061200914,1.1934954355515814,76.47,1.2388487907789831,0.9807203215725396
38,INTC,61.77,4.208999999999984,0.7678869001261452,66.43,1.0387498336198568,1.8799102454378833,53.33,2.147894028562742,0.9654812188803895
39,WFC,60.51,4.173999999999975,1.0732871780179742,59.85,1.1538025701456682,1.156623682677304,73.08,1.4168682946526943,1.1777937289449167
40,VZ,56.29,2.0439999999999845,0.6569519887519485,61.65,1.0649162833254302,0.9452954062346415,61.9,1.352243908721722,1.0132763349760106
41,ORCL,56.18,2.5409999999999826,2.0820313206807333,57.81,1.0520007292756768,1.2317707554879394,53.85,1.358593886747823,1.092426325447218
42,INTU,62.54,4.188999999999982,2.45748547535069,55.56,1.0883749229101625,1.541895442634639,64.29,1.341137666469483,1.0990797541578223
43,DIS,59.39,2.795999999999984,0.753686013075272,64.23,1.1312070649264219,0.9861926046302409,75.0,1.4571267690761576,1.2047463074438665
44,AMGN,57.68,2.419999999999982,1.1490753034385544,63.48,1.0897492109630167,1.1248156063831702,61.9,1.413062294279404,0.9113039568619132
45,IBM,59.05,2.4499999999999775,1.518039123062476,57.75,1.1364832224430126,1.1325385209504448,75.0,1.1516585594917128,1.217770074361099
46,QCOM,57.28,3.469999999999983,1.9757723315639248,48.98,1.1293212740816503,1.257329841857487,60.61,1.2358906399168292,1.2495035903618572
47,DHR,54.98,2.2329999999999828,1.8672917369639994,51.08,1.0135167869300288,0.9942677999895062,62.5,0.9506821334518007,1.1055846600015709
48,NOW,63.33,4.543999999999974,2.5845756762012693,56.13,1.0317740239677384,1.7456392252804718,54.84,1.5494787632478206,1.1141270675512682
49,CAT,60.99,3.261999999999989,2.28469421362551,59.85,1.041093829496368,1.2127526960344408,68.0,1.5929715618093723,1.1928949321496418
50,PFE,61.02,2.9949999999999872,0.7355095050656779,70.83,1.075011833272181,0.5930580273046482,56.52,1.4313128318339894,0.9137706467445286
51,UNP,57.92,2.098999999999982,1.3807603342297106,61.87,1.0235396414765146,1.1634008138263703,50.0,1.2499525567510201,1.0338849919106952
52,TXN,59.34,2.473999999999982,1.3584864856478167,51.72,1.074169584734086,1.0005319875797407,69.23,1.2245091324323978,1.0416366162606854
53,SPGI,56.51,2.439999999999987,1.546170193327218,54.79,0.9704693219526201,1.2774135615180855,48.0,1.1563710649901124,0.9960219803811708
54,GE,64.25,3.916999999999983,2.2506458094364366,70.99,1.1046955420808962,1.794159578683514,76.92,1.656906827577405,1.3561582978246078
55,PM,56.82,2.5479999999999845,1.0913818975452065,53.96,0.9776133767698361,0.9439888806646821,38.1,1.1606764969610825,0.9725445734311248
56,AMAT,61.45,4.524999999999982,3.4734521122429665,55.56,1.1132172590845215,1.6754884906411158,59.38,1.5663962316129179,1.3772754248579986
57,UBER,65.03,5.634999999999977,2.5087661728658532,67.46,1.1537113323381973,2.253184153296945,63.64,1.818958364402122,1.3510729089826985
