,ticker,winrate_6m,return_6m,buyhold_6m,winrate_1y,return_1y,buyhold_1y,winrate_td,return_td,buyhold_td
1,NVDA,59.61,5.3559999999999945,14.83085529107075,56.43,1.2483831863666923,3.2658483608104985,55.88,1.626612289636502,1.8400219151225252
2,AMD,61.62,5.665999999999982,4.267284072037184,60.42,1.3024612315941049,2.1432105472066696,59.26,2.0611188914392224,1.5325893302145204
3,SMCI,62.72,6.933999999999989,48.63523821636542,63.45,1.5756788509495019,3.4705168657389818,63.64,2.872976391715304,4.06217912721297
4,QCOM,57.28,3.469999999999983,1.9601242691820935,48.98,1.1293212740816503,1.257329841857487,60.61,1.2358906399168292,1.2396075563826647
5,COIN,60.1,5.919999999999991,0.795104554971921,60.61,1.1454300081831112,4.161273254854455,43.75,2.7034936232125473,1.6856278629647734
6,MSTR,62.8,9.165999999999976,9.929580644242472,58.57,1.9797810774808475,4.150915028160259,81.25,2.4741844784966425,2.2590402993939525
7,AI,66.35,9.069999999999995,0.24384615971491885,60.48,1.3424641143840184,2.5343914801058833,75.0,3.624805288805442,1.1481347360439558
